iter	Logloss
0	0.681353827
1	0.6697671647
2	0.6574941275
3	0.6481585052
4	0.6370482614
5	0.6261207386
6	0.6151641521
7	0.6057149703
8	0.5962631605
9	0.5876722547
10	0.5787535067
11	0.5706189234
12	0.5619211873
13	0.5533090945
14	0.5459302984
15	0.537920196
16	0.5304184878
17	0.5220936332
18	0.5143208881
19	0.5061483612
20	0.4998056296
21	0.4929522975
22	0.4888168075
23	0.4823755473
24	0.4767943535
25	0.4701388875
26	0.4640521912
27	0.4592644306
28	0.4533872305
29	0.4470647906
30	0.442142748
31	0.4368598821
32	0.4322220309
33	0.4270997068
34	0.42202183
335	0.4225105339
36	0.4178408517
37	0.4131350642
38	0.4090000283
39	0.4044047773
40	0.4000703993
41	0.3963495544
42	0.3926773983
43	0.3888213251
44	0.3849725285
45	0.3810941284
46	0.3778061945
47	0.3752336351
48	0.3717347323
49	0.368189699
50	0.3650256919
51	0.3620304301
52	0.3594957796
553	0.3400793209
54	0.3374921168
55	0.3347838614
56	0.3322393892
57	0.3297527525
58	0.3270731346
59	0.3243440431
60	0.3216831037
61	0.3189748055
62	0.3168597869
63	0.3147534745
64	0.3128864641
65	0.3103998025
66	0.308118834
67	0.3058977584
68	0.3041131027
69	0.3020940199
70	0.300039372
71	0.2985605716
72	0.2968642444
73	0.2946276824
74	0.2925532816
75	0.2907880808
76	0.2888254011
77	0.2872249969
78	0.2857559577
79	0.2841398925
80	0.2827597271
81	0.2810547775
82	0.2796202088
83	0.2789620749
84	0.2778185073
85	0.2763159019
86	0.2746640728
87	0.2729061452
88	0.2714784946
89	0.2704484188
90	0.2686837683
91	0.2672717196
92	0.2659213384
93	0.2649341854
94	0.2636707574
95	0.2625701495
96	0.2614085859
97	0.2599108561
98	0.2589480568
99	0.2576364431
100	0.2563297309
101	0.2552884387
102	0.2544280539
103	0.2532490769
104	0.2522930361
105	0.2511877387
106	0.2503081932
107	0.2492512283
108	0.2483311773
109	0.2474113949
110	0.2463291492
111	0.2452130357
112	0.2440126615
113	0.2431242288
114	0.2421770829
115	0.2413825355
116	0.240164682
117	0.2392972128
118	0.2383323286
119	0.2377470124
120	0.2370913482
121	0.2361831368
122	0.2353620094
123	0.2346720461
124	0.2340692241
125	0.2333464301
126	0.2324468439
127	0.2321528268
128	0.2313740753
129	0.2307852189
130	0.2302722109
131	0.2295907206
132	0.2288484058
133	0.2280754973
134	0.2272886798
135	0.2264275196
136	0.2256313097
137	0.2248803704
138	0.2242180061
139	0.2235385459
140	0.2229799755
141	0.2223678969
142	0.2217897515
143	0.2211634599
144	0.2204426307
145	0.2197956858
146	0.2192666063
147	0.2192111712
148	0.2186931439
149	0.2181068422
150	0.2175068066
151	0.2171450306
152	0.2165248572
153	0.2160739596
154	0.215385024
155	0.2151629259
156	0.2145914849
157	0.2142757086
158	0.2138083115
159	0.2132905953
160	0.2131829911
161	0.2127280295
162	0.2121888288
163	0.2118079746
164	0.2112483974
165	0.2107083736
166	0.2102871465
167	0.2098260608
168	0.2093010546
169	0.2088675153
170	0.2082872221
171	0.207745095
172	0.2073264058
173	0.2068404356
174	0.2063545483
175	0.2058880243
176	0.20547721
177	0.2051081892
178	0.2046701102
179	0.2042629559
180	0.2039227708
181	0.2034673866
182	0.2030919983
183	0.202676196
184	0.2023500924
185	0.2019647437
186	0.2016059834
187	0.2013154451
188	0.200917327
189	0.200761566
190	0.2003118731
191	0.1999490944
192	0.1995924862
193	0.1991082639
194	0.1988737474
195	0.1984569598
196	0.1982302841
197	0.1198	0.2132987543
199	0.2128075508
200	0.2125923081
201	0.2121553701
202	0.2120426717
203	0.2116760253
204	0.2115254739
205	0.2113850535
206	0.2109901745
207	0.2107380233
208	0.2104376946
209	0.2101907744
210	0.2097294251
211	0.2093496699
212	0.2090611257
213	0.2087627507
214	0.208482697
215	0.2082333402
216	0.207901217
217	0.2075217	0.1915692948
218	0.1912329578
219	0.1909533982
220	0.1906612755
221	0.1904549352
222	0.1902223439
223	0.1898501534
224	0.1895542288
225	0.1894262688
226	0.1889905661
227	0.188718657
228	0.1884566755
229	0.1883090892
230	0.1880541898
231	0.1232	0.2031232	0.1874304323
233	0.1872173408
234	0.1869768405
235	0.1867190623
236	0237	0.201968237	0.1861574774
238	0239	0.2014850562
240	0.201206013
241	0.2009910675
242	0.2007497398
243	0.2004627916
244	0.2002368711
245	0.1999933111
246	0.1996728148
247	0.1994048634
248	0.1990781117
249	0.1987943056
250	0.1983827972
251	0.1982016029
252	0.1979562018
253	0.1976853597
254	0.1974689224
255	0.1973278154
256	0.1970649225
257	0.1967595656
258	0.1965194484
259	0.1963043861
260	0.1960656465
261	0.195835795
262	0.1955973932
263	0.1953146174
264	0.1950736889
265	0.1948309807
266	0.1946335898
267	0.1944338427
268	0.1941991192
269	0.1939925888
270	0.1937696038
271	0.1937571433
272	0.1935540754
273	0.1933653252
274	0.1931932902
275	0.1929185007
276	0.1926300442
277	0.1923735564
278	0.1922805113
279	0.1920571232
280	0.1918569738
281	0.1916026375
282	0.1913990773
283	0.1911596289
284	0.1908774484
285	0.19065754
286	0.1903993349
287	0.1901793062
288	0.19003474
289	0.1897577641
290	0.1896063612
291	0.1893854875
292	0.1890966141
293	0.1888924882
294	0.1886874328
295	0.1885303016
296	0.1883842265
297	0.1882320349
298	0.187969805
299	0.1878028942
300	0.187621698
301	0.1873832629
302	0.1872085725
303	0.1870053905
304	0.1868192039
305	0.1866136345
306	0.1864802324
307	0.1863823272
308	0.1861605252
309	0.1860293377
310	0.1858807791
311	0.1856522863
312	0.1853951717
313	0.1851645974
314	0.1850206428
315	0.1848847979
316	0.1847159407
317	0.1845415114
318	0.1843900665
319	0.18411077
320	0.1839405809
321	0.1838244024
322	0.1835765177
323	0.1833739455
324	0.1831271611
325	0.1829598981
326	0.1827737903
327	0.1825666479
328	0.182422482
329	0.1822087246
330	0.1821004906
331	0.1819427184
332	0.1818022749
333	0.1815808409
334	0.1813615158
335	0.181122005
336	0.1809427553
337	0.180778049
338	0.1805196548
339	0.1804262004
340	0.1803679639
341	0.1801766264
342	0.1801001257
343	0.1798874586
344	0.1797290318
345	0.179543555
346	0.1793628597
347	0.1791391555
348	0.1791340982
349	0.1788900427
350	0.1787136586
351	0.1786957544
352	0.1785245077
353	0.1783839394
354	0.1782569427
355	0.1780251332
356	0.177922029
357	0.1778480596
358	0.1777431536
359	0.1775688457
360	0.177426527
361	0.1772873513
362	0.1771143335
363	0.1769006335
364	0.1767244641
365	0.1765636016
366	0.1763970834
367	0.1762598047
368	0.1760023833
369	0.1758791792
370	0.1756643965
371	0.1754583594
372	0.1753000612
373	0.1751499184
374	0.1750875871
375	0.1749277361
376	0.1747588232
377	0.1746284944
378	0.1745165518
379	0.1743822301
380	0.1742450169
381	0.174059228
382	0.1739052334
383	0.1737779633
384	0.1736141158
385	0.1734506367
386	0.1733052584
387	0.1731760404
388	0.1730018551
389	0.1728251526
390	0.1727469052
391	0.1726141974
392	0.172501657
393	0.1723658385
394	0.1722398322
395	0.1722295668
396	0.1720405712
397	0.1718485556
398	0.1716709996
399	0.17151031
400	0.1713952
401	0.171385507
402	0.1712068082
403	0.1710798025
404	0.1709245909
405	0.1709110509
406	0.1706959103
407	0.1704815769
408	0.1703333065
409	0.1702385718
410	0.1700847018
411	0.1698503025
412	0.1696158841
413	0.1695869544
414	0.1694736811
415	0.1693245351
416	0.16915665
417	0.1689978516
418	0.1688672614
419	0.1687655583
420	0.1686323806
421	0.168476591
422	0.1683786737
423	0.1683734134
424	0.1682512456
425	0.1681144762
426	0.1679420173
427	0.1677837053
428	0.1676115221
429	0.167466869
430	0.167359714
431	0.1673483473
432	0.1672618559
433	0.1671486499
434	0.1670249445
435	0.1668765597
436	0.1668696166
437	0.1667581001
438	0.1666373322
439	0.1664941685
440	0.1663641017
441	0.1662585709
442	0.1661060111
443	0.1660218152
444	0.1659221065
445	0.1657610775
446	0.1656283689
447	0.1654845736
448	0.1652693694
449	0.1651092197
450	0.1649237237
451	0.1648256187
452	0.1646762389
453	0.1645464272
454	0.1645331786
455	0.1644116684
456	0.1642781108
457	0.1640969095
458	0.1639178685
459	0.1637917299
460	0.1636798332
461	0.1636094285
462	0.1634757183
463	0.1633396819
464	0.1631782002
465	0.163054376
466	0.1630520187
467	0.1629746416
468	0.1628056616
469	0.1626712256
470	0.1625351854
471	0.1624324213
472	0.1623194727
473	0.1622188222
474	0.1621932131
475	0.1620540641
476	0.1619229752
477	0.1618010366
478	0.1616636385
479	0.1616590385
480	0.1616533325
481	0.1615177219
482	0.1613699301
483	0.1612851915
484	0.1612369792
485	0.1610625217
486	0.1610603575
487	0.160907121
488	0.1608138933
489	0.1608116586
490	0.1606337492
491	0.1605984497
492	0.1605006164
493	0.1604281123
494	0.1603191891
495	0.160263865
496	0.1601514021
497	0.1600812559
498	0.1599803371
499	0.1598605123
500	0.1597342147
501	0.1596156046
502	0.1595553929
503	0.1594335432
504	0.1594212444
505	0.1592743712
506	0.1591445379
507	0.1590304391
508	0.1588879455
509	0.1587845416
510	0.158699483
511	0.1585667913
512	0.1584852927
513	0.1583708672
514	0.1582572299
515	0.1581563543
516	0.1580163996
517	0.1579553373
518	0.1578846238
519	0.1577889193
520	0.1576856532
521	0.1575759674
522	0.1575729503
523	0.157571491
524	0.1574779364
525	0.1574430223
526	0.1573137554
527	0.1571552103
528	0.1571371514
529	0.1570230285
530	0.1569081129
531	0.1568978171
532	0.1568211471
533	0.1567589984
534	0.1565920559
535	0.1564916906
536	0.1564024098
537	0.1562717604
538	0.1562130556
539	0.1560910054
540	0.1559619101
541	0.1558189188
542	0.1556623928
543	0.1556495541
544	0.1555159705
545	0.155422594
546	0.1552805329
547	0.1551589279
548	0.1550270401
549	0.1549075475
550	0.1548350677
551	0.1547002628
552	0.1545696106
553	0.1544547819
554	0.1542873418
555	0.1541745887
556	0.1540435782
557	0.1539594456
558	0.1538281328
559	0.1537143243
560	0.1536118544
561	0.1535212653
562	0.1534519171
563	0.1533678581
564	0.1532459424
565	0.1531574838
566	0.1530981771
567	0.1529734257
568	0.1529621371
569	0.152835262
570	0.1527586028
571	0.1526862465
572	0.1526044829
573	0.1525315269
574	0.152377695
575	0.1522745294
576	0.1522738435
577	0.1521603955
578	0.1520848609
579	0.1519518318
580	0.1518575467
581	0.1517726028
582	0.1516564484
583	0.1515078027
584	0.1514926911
585	0.1513854554
586	0.151346279
587	0.1512156806
588	0.1510791449
589	0.1510158467
590	0.1509469791
591	0.1508792415
592	0.1507447166
593	0.1506277491
594	0.150552234
595	0.1504535018
596	0.150368809
597	0.1502501485
598	0.1502022215
599	0.1500922902
600	0.1500111603
601	0.1499480871
602	0.1498210162
603	0.1496903773
604	0.1495881104
605	0.1494723251
606	0.1493474914
607	0.1492390524
608	0.1491287197
609	0.1490660379
610	0.1489591914
611	0.1489190132
612	0.1488481699
613	0.1487261834
614	0.148645798
615	0.1485064976
616	0.1484050693
617	0.14832205
618	0.1482230965
619	0.1480871246
620	0.1479187283
621	0.1478276088
622	0.1477139904
623	0.1476148157
624	0.1475517621
625	0.1474336231
626	0.1473571364
627	0.1472781102
